piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,post_landing,93,1544.0,58,196.788,472.802,-0.50200,0.07459,0.50751,0.032681,-0.103184,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,94,1561.0,58,196.313,472.708,-0.07705,-0.05793,0.09640,-0.015532,-0.072262,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,95,1577.0,58,196.236,472.751,-0.52376,0.06835,0.52820,0.031428,-0.087862,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,96,1594.0,58,195.710,472.681,0.05828,-0.02926,0.06521,-0.030849,-0.056297,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,97,1611.0,58,195.765,472.742,-0.30705,0.11456,0.32772,0.011177,-0.085485,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,98,1627.0,58,195.457,472.715,-0.39953,0.09320,0.41026,0.018478,-0.074259,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,99,1644.0,58,195.055,472.680,-0.54577,0.04188,0.54738,0.030342,-0.055700,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,100,1661.0,58,194.539,472.658,0.01030,0.00000,0.01030,-0.027742,-0.026991,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,101,1677.0,58,194.549,472.679,0.13220,-0.02345,0.13426,-0.034506,-0.054854,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,102,1694.0,58,194.682,472.756,0.17407,-0.04319,0.17935,-0.033804,-0.089512,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,103,1711.0,58,194.847,472.876,-0.25581,0.14358,0.29335,0.014445,-0.121496,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,104,1727.0,58,194.590,472.816,-0.43412,0.09777,0.44500,0.027930,-0.106988,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,105,1744.0,58,194.154,472.726,-0.33976,0.11359,0.35824,0.014046,-0.078935,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,106,1761.0,58,193.832,472.695,-0.37964,0.07193,0.38640,0.015944,-0.065645,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,107,1777.0,58,193.451,472.673,-0.41246,0.05637,0.41629,0.017497,-0.049631,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,108,1794.0,58,193.037,472.661,-0.44283,0.02563,0.44357,0.019150,-0.032057,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,109,1811.0,58,192.618,472.662,-0.47513,0.00000,0.47513,0.021340,-0.013938,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,110,1827.0,58,192.141,472.680,-0.50085,-0.02378,0.50141,0.023290,0.007496,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,111,1844.0,58,191.638,472.709,-0.52464,-0.04270,0.52638,0.025540,0.030888,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,112,1861.0,58,191.141,472.764,-0.55093,-0.04196,0.55253,0.028089,0.055053,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,113,1877.0,58,190.588,472.868,-0.57101,-0.06388,0.57457,0.030903,0.083265,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
