run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
5,9,1,24,475,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6148;6202,34.117,3.078,-0.153502,-0.086960,0.066542,0.098316,-0.059608,-0.157924,-0.008020,-0.003078,0.004942,-0.157924,-0.066542,211.368,0.589132,16.368,0.589132,2,4
5,10,1,1,241,START,6220;6224;6229;6244;6253,52.000,4.177,0.000000,0.691227,0.691227,11.096858,-1.124863,-12.221722,0.000000,0.020814,0.020814,-12.221722,-0.691227,195.000,0.000000,0.000,0.000000,10,10
5,10,1,2,242,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6224;6244,13.005,22.511,0.691227,0.701695,0.010468,-1.124863,-1.054147,0.070716,0.020814,0.020160,-0.000654,0.070716,-0.010468,195.165,0.004977,0.165,0.004977,4,4
5,10,1,3,243,PART_CHANGE+WIDTH_CHANGE,6224,8.009,22.840,0.701695,0.701353,-0.000342,-1.054147,-0.983685,0.070462,0.020160,0.019990,-0.000170,0.070462,0.000342,195.333,0.009798,0.333,0.009798,2,2
5,10,2,1,264,START,6224,8.062,19.227,0.650339,0.582689,-0.067650,0.434836,-0.094542,-0.529378,0.018536,0.004046,-0.014490,-0.529378,0.067650,198.886,0.111074,0.000,0.000000,1,2
5,10,2,2,323,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6220;6224,48.035,4.043,-0.789229,-0.687365,0.101864,0.532085,-0.211162,-0.743248,-0.026834,-0.010538,0.016295,-0.743248,-0.101864,196.306,-0.025594,-2.580,-0.136668,2,4
5,10,2,3,324,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6220,7.025,16.373,-0.687365,-0.642254,0.045111,-0.211162,-0.210345,0.000818,-0.010538,-0.010569,-0.000030,0.000818,-0.045111,196.132,-0.028271,-2.755,-0.139345,1,2
5,10,2,4,370,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6220;6224,48.034,3.963,0.309991,0.269552,-0.040439,0.252278,-0.082108,-0.334386,0.012665,0.004106,-0.008558,-0.334386,0.040439,194.734,-0.023232,-4.152,-0.134307,2,4
5,10,2,5,371,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6224,8.020,23.934,0.269552,0.248844,-0.020707,-0.082108,-0.069539,0.012569,0.004106,0.003469,-0.000637,0.012569,0.020707,194.803,-0.022189,-4.084,-0.133264,1,2
5,10,2,6,386,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6220;6224,48.035,4.009,-0.033870,-0.024190,0.009680,0.094700,-0.014269,-0.108969,-0.004738,-0.000706,0.004032,-0.108969,-0.009680,195.199,-0.024589,-3.688,-0.135663,2,4
